Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.4 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0 []
EncounterTemplate run_seed=1777248984 templates=33
EncounterTemplate selected room=room_boss_approach_large_c01_08 encounter=boss template=mass_basics display=Mass Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_combat_tactical_medium_c02_02 encounter=arena_room_combat_tactical_medium_c02_02 template=first_control_loss display=First Control Loss repeated=false stage=unused_compatible tags=arena,combat,medium
EncounterTemplate selected room=room_connector_narrow_medium_c01_04 encounter=arena_room_connector_narrow_medium_c01_04 template=edge_basics display=Edge Basics repeated=false stage=unused_compatible tags=arena,corridor,connector,narrow
EncounterTemplate selected room=room_connector_narrow_medium_c_06 encounter=arena_room_connector_narrow_medium_c_06 template=flow_basics display=Flow Basics repeated=false stage=unused_compatible tags=arena,corridor,connector,narrow
Dungeon Pipeline Graph: { "rooms": 9, "links": 8 }
Dungeon Pipeline Roles: { "sequence": ["spawn", "connection_room", "combat", "connection_room", "chokepoint", "connection_room", "combat", "connection_room", "boss"], "combat_room": "room_combat_tactical_medium_c02_02", "connection_rooms": ["connection_room_01", "connection_room_03", "connection_room_05", "connection_room_07"] }
FPS_LOG t=15.2 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=15.4 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=15.7 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=15.9 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=16.2 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=16.4 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=16.7 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=16.9 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=17.2 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=17.5 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=17.7 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=18.0 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=18.2 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=18.5 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=18.7 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=19.0 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=19.2 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=19.5 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=19.7 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=20.0 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=20.3 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=20.5 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=20.8 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=21.0 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=21.3 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=21.5 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=21.8 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=22.0 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=22.3 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=22.5 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=22.8 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=23.1 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=23.3 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=23.6 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=23.8 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=24.1 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=24.3 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=24.6 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=24.8 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=25.1 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=25.3 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=25.6 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=25.9 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=26.1 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=26.4 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=26.6 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=26.9 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=27.1 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=27.4 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=27.6 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=27.9 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=28.1 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=28.4 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=28.7 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=28.9 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=29.2 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=29.4 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=29.7 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=29.9 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=30.2 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=30.4 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=30.7 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=30.9 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=31.2 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=31.5 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=31.7 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=32.0 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=32.2 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=32.5 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=32.7 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=33.0 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=33.2 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=33.5 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=33.7 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=34.0 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=34.3 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=34.5 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=34.8 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
