Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.5 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0 []
EncounterTemplate run_seed=1777249095 templates=33
EncounterTemplate selected room=room_boss_approach_large_c01_08 encounter=boss template=mass_basics display=Mass Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_combat_tactical_medium_c_02 encounter=arena_room_combat_tactical_medium_c_02 template=first_control_loss display=First Control Loss repeated=false stage=unused_compatible tags=arena,combat,medium
EncounterTemplate selected room=room_combat_skirmish_small_c03_04 encounter=arena_room_combat_skirmish_small_c03_04 template=phase_basics display=Phase Basics repeated=false stage=unused_compatible tags=arena,combat,small
EncounterTemplate selected room=room_connector_turn_medium_c01_06 encounter=arena_room_connector_turn_medium_c01_06 template=first_spread_threat display=First Spread Threat repeated=false stage=unused_compatible tags=arena,connector,turn,medium
Dungeon Pipeline Graph: { "rooms": 9, "links": 8 }
FPS_LOG t=11.7 fps=166 ms=6.0 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=11.9 fps=166 ms=6.0 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=12.2 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=12.4 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=12.7 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=13.0 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=13.2 fps=164 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=13.5 fps=164 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=13.7 fps=164 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=14.0 fps=164 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=14.2 fps=166 ms=6.0 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=14.5 fps=166 ms=6.0 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=14.7 fps=166 ms=6.0 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=15.0 fps=166 ms=6.0 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=15.2 fps=164 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=15.5 fps=164 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=15.8 fps=164 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=16.0 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=16.3 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=16.5 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=16.8 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=17.0 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=17.3 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=17.5 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=17.8 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=18.0 fps=165 ms=6.1 dc=36 obj=7324 prim=136080 rooms=2 [spawn_room_00,connection_room_01]
