Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.4 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0 []
EncounterTemplate run_seed=1777249170 templates=33
EncounterTemplate selected room=room_boss_approach_large_c02_08 encounter=boss template=flow_basics display=Flow Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_connector_turn_medium_c03_02 encounter=arena_room_connector_turn_medium_c03_02 template=volley_basics display=Volley Basics repeated=false stage=unused_compatible tags=arena,connector,turn,medium
EncounterTemplate selected room=room_connector_junction_medium_c01_04 encounter=arena_room_connector_junction_medium_c01_04 template=movement_projectiles display=Movement + Projectiles repeated=false stage=unused_compatible tags=arena,connector,junction,medium
EncounterTemplate selected room=room_chokepoint_gate_medium_c01_06 encounter=arena_room_chokepoint_gate_medium_c01_06 template=first_timer_threat display=First Timer Threat repeated=false stage=unused_compatible tags=arena,combat,chokepoint,medium
Dungeon Pipeline Graph: { "rooms": 9, "links": 8 }
Dungeon Pipeline Roles: { "sequence": ["spawn", "connection_room", "chokepoint", "connection_room", "combat", "connection_room", "chokepoint", "connection_room", "boss"], "combat_room": "room_connector_turn_medium_c03_02", "connection_rooms": ["connection_room_01", "connection_room_03", "connection_room_05", "connection_room_07"] }
Dungeon Pipeline Spatial: { "start_room": "spawn_room_00", "boss_room": "room_boss_approach_large_c02_08" }
FPS_LOG t=15.4 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=15.7 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=15.9 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=16.2 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=16.4 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=16.7 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=16.9 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=17.2 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=17.5 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=17.7 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=18.0 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=18.2 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=18.5 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=18.7 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=19.0 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=19.2 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=19.5 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=19.7 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=20.0 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
FPS_LOG t=20.3 fps=165 ms=6.1 dc=36 obj=6957 prim=136596 rooms=3 [spawn_room_00,connection_room_01,room_connector_turn_medium_c03_02]
